Date,FullName
2017-07-13 00:00:00,Jeff Weiner
2017-07-13 00:00:00,Bill Gates
2016-02-18 00:00:00,Ryan Hoover
2016-02-18 00:00:00,Naveen Tewari
2016-02-18 00:00:00,Vijay Ramanan
2016-02-18 00:00:00,Kavin Bharti Mittal
2016-02-18 00:00:00,Eric A. Spiegel
2016-02-18 00:00:00,Lisa DeLuca
2016-02-18 00:00:00,Loic Le Meur
2016-02-18 00:00:00,Jonathan Becher
2016-02-18 00:00:00,Daniel Solove
2016-02-18 00:00:00,Reid Hoffman
2016-02-18 00:00:00,Pete Cashmore
2016-02-18 00:00:00,Dippak Khurana
2016-02-18 00:00:00,Tom Davenport
2016-02-18 00:00:00,Bernard Marr
2015-08-31 00:00:00,Francisco D'Souza
2015-08-31 00:00:00,Eric Ries
2015-08-31 00:00:00,DJ Patil
2015-08-31 00:00:00,Mahesh Murthy
2015-08-31 00:00:00,Brian Fetherstonhaugh
2015-08-31 00:00:00,Kris Gopalakrishnan
2015-08-31 00:00:00,David Hornik
2015-08-31 00:00:00,Adam Rifkin
2015-08-31 00:00:00,Narendra Modi
2014-05-07 00:00:00,Hunter Walk
2014-05-07 00:00:00,Guy Kawasaki
2014-05-07 00:00:00,Richard Branson
2014-05-07 00:00:00,Dharmesh Shah
